ip_address,port,os_class,accuracy,host_state
139.162.185.242,8333,Linux,100,reachable
88.198.200.200,8333,Linux,100,reachable
61.69.220.219,8333,Unknown,,unreachable
170.187.181.185,8333,Linux,97,reachable
97.87.5.93,8333,Unknown,,unreachable
188.154.159.130,8333,Linux,87,reachable
84.180.215.177,8333,Unknown,,unreachable
34.65.20.183,8333,Linux,93,reachable
172.232.162.244,8333,Linux,96,reachable
139.177.179.249,8333,Linux,100,reachable
172.236.224.139,8333,Linux,96,reachable
75.159.38.200,8333,Unknown,,unreachable
141.98.153.137,8333,Linux,100,reachable
90.157.96.178,8333,Linux,100,reachable
95.70.142.236,8333,Linux,85,reachable
37.152.92.197,8333,Unknown,,unreachable
176.56.136.8,8333,Unknown,,reachable
72.28.130.143,8333,Linux,97,reachable
65.109.112.186,8333,Linux,100,reachable
213.156.1.106,8333,Unknown,,reachable
82.76.172.101,8333,Windows,89,reachable
50.71.192.114,8333,Unknown,,unreachable
76.137.241.219,8333,Unknown,,unreachable
188.119.67.137,8333,Other/Device,86,reachable
173.180.255.247,8333,Linux,93,reachable
195.206.105.7,8333,Linux,91,reachable
50.67.144.41,8333,Linux,97,reachable
13.53.88.24,8333,Unknown,,reachable
24.10.42.48,8333,Linux,93,reachable
139.162.128.116,8333,Linux,100,reachable
149.40.0.252,8333,Unknown,,unreachable
178.142.222.48,8333,Unknown,,unreachable
173.31.221.160,8333,Linux,93,reachable
139.162.186.166,8333,Linux,100,reachable
74.88.231.79,8333,macOS,88,reachable
85.215.80.42,8333,Linux,100,reachable
34.150.1.226,8333,Linux,93,reachable
119.74.146.242,8333,Unknown,,unreachable
84.155.216.227,8333,Unknown,,unreachable
45.88.106.107,8333,Linux,100,reachable
217.244.69.245,8333,Linux,85,reachable
89.56.241.78,8333,Linux,85,reachable
74.63.221.47,8333,Unknown,,unreachable
89.116.30.184,8333,Unknown,,reachable
45.79.195.29,8333,Linux,100,reachable
79.250.24.246,8333,Unknown,,unreachable
104.243.41.215,8333,Linux,91,reachable
188.24.17.156,8333,Unknown,,unreachable
45.130.58.202,8333,Linux,89,reachable
173.184.181.50,8333,BSD,85,reachable
73.2.78.155,8333,Linux,97,reachable
216.228.176.204,8333,Unknown,,unreachable
84.234.97.26,8333,Unknown,,reachable
148.251.179.106,8333,Linux,95,reachable
54.74.15.78,8333,Linux,87,reachable
89.10.247.199,8333,Unknown,,unreachable
172.233.147.234,8333,Linux,100,reachable
172.233.151.58,8333,Linux,100,reachable
182.52.17.181,8333,Unknown,,unreachable
37.49.17.143,8333,Unknown,,unreachable
172.236.249.155,8333,Linux,96,reachable
174.16.120.236,8333,Unknown,,unreachable
45.157.177.82,8333,Linux,96,reachable
73.219.39.100,8333,Other/Device,86,reachable
93.89.130.246,8333,Linux,85,reachable
172.234.245.57,8333,Linux,96,reachable
47.42.217.140,8333,Unknown,,unreachable
178.55.164.183,8333,Linux,90,reachable
46.142.130.46,8333,Unknown,,unreachable
23.240.45.124,8333,Unknown,,unreachable
167.86.98.113,8333,Linux,100,reachable
79.117.3.86,8333,Unknown,,unreachable
89.244.186.193,8333,Unknown,,unreachable
93.209.96.64,8333,Unknown,,unreachable
97.228.89.2,8333,Unknown,,unreachable
73.18.75.150,8333,Linux,85,reachable
137.220.122.240,8333,Linux,85,reachable
91.34.240.69,8333,Linux,85,reachable
87.219.100.2,8333,Unknown,,unreachable
159.196.3.239,8333,Linux,100,reachable
185.182.194.11,8333,Linux,97,reachable
194.191.232.153,8333,Linux,89,reachable
85.165.4.2,8333,Unknown,,unreachable
151.20.59.44,8333,Unknown,,unreachable
147.219.4.111,8333,Linux,89,reachable
47.200.222.32,8333,Unknown,,unreachable
78.54.127.117,8333,Unknown,,unreachable
81.187.136.37,8333,Linux,91,reachable
96.235.142.116,8333,Unknown,,reachable
92.116.5.133,8333,Unknown,,unreachable
185.154.2.3,8333,Windows,85,reachable
97.101.216.110,8333,Unknown,,unreachable
149.143.123.39,8333,Linux,85,reachable
73.111.4.191,8333,Unknown,,unreachable
37.27.97.175,8333,Linux,100,reachable
73.254.30.186,8333,Unknown,,unreachable
199.167.149.246,8333,Windows,92,reachable
18.143.152.53,8333,Other/Device,92,reachable
172.232.27.43,8333,Linux,96,reachable
145.223.103.220,8333,Linux,95,reachable
98.147.193.16,8333,macOS,87,reachable
95.114.83.222,8333,Unknown,,unreachable
72.188.33.195,8333,Linux,94,reachable
172.104.147.59,8333,Linux,100,reachable
185.43.245.154,8333,Linux,91,reachable
76.149.21.250,8333,macOS,87,reachable
207.182.146.85,8333,Linux,97,reachable
15.236.87.36,8333,Unknown,,reachable
73.36.119.151,8333,Unknown,,unreachable
104.63.98.183,8333,Linux,93,reachable
84.130.84.176,8333,Unknown,,unreachable
67.10.249.152,8333,Unknown,,unreachable
202.61.252.76,8333,Linux,90,reachable
2.81.212.158,8333,Unknown,,unreachable
147.93.177.17,8333,Linux,100,reachable
83.5.94.102,8333,Unknown,,unreachable
62.80.166.146,8333,Windows,92,reachable
24.140.97.71,8333,Linux,93,reachable
